"job_id","job_title","name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
547382,"Director of Analytics","Meta","Anywhere","Full-time","336500.0","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","AT&T","Anywhere","Full-time","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Pinterest Job Advertisements","Anywhere","Full-time","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Uclahealthcareers","Anywhere","Full-time","217000.0","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","SmartAsset","Anywhere","Full-time","205000.0","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Inclusively","Anywhere","Full-time","189309.0","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05"
1638595,"Senior Data Analyst","Patterned Learning AI","Anywhere","Full-time","185000.0","2023-08-15 07:00:00"
